index,date,region_code,confirmed_addition,deceased_addition
155,2020-03-10,Sachsen-Anhalt,6,0
171,2020-03-11,Sachsen-Anhalt,14,1
187,2020-03-12,Sachsen-Anhalt,14,0
203,2020-03-13,Sachsen-Anhalt,11,0
219,2020-03-14,Sachsen-Anhalt,2,0
250,2020-03-16,Sachsen-Anhalt,35,0
266,2020-03-17,Sachsen-Anhalt,29,0
282,2020-03-18,Sachsen-Anhalt,38,0
298,2020-03-19,Sachsen-Anhalt,43,0
314,2020-03-20,Sachsen-Anhalt,51,1
330,2020-03-21,Sachsen-Anhalt,18,1
346,2020-03-22,Sachsen-Anhalt,14,2
362,2020-03-23,Sachsen-Anhalt,66,3
378,2020-03-24,Sachsen-Anhalt,62,4
394,2020-03-25,Sachsen-Anhalt,51,4
410,2020-03-26,Sachsen-Anhalt,58,2
426,2020-03-27,Sachsen-Anhalt,78,3
442,2020-03-28,Sachsen-Anhalt,42,0
458,2020-03-29,Sachsen-Anhalt,19,0
474,2020-03-30,Sachsen-Anhalt,72,7
490,2020-03-31,Sachsen-Anhalt,56,1
506,2020-04-01,Sachsen-Anhalt,36,0
522,2020-04-02,Sachsen-Anhalt,46,1
538,2020-04-03,Sachsen-Anhalt,44,1
554,2020-04-04,Sachsen-Anhalt,34,1
570,2020-04-05,Sachsen-Anhalt,39,0
586,2020-04-06,Sachsen-Anhalt,26,1
602,2020-04-07,Sachsen-Anhalt,45,2
618,2020-04-08,Sachsen-Anhalt,48,0
634,2020-04-09,Sachsen-Anhalt,39,2
650,2020-04-10,Sachsen-Anhalt,25,1
666,2020-04-11,Sachsen-Anhalt,29,1
682,2020-04-12,Sachsen-Anhalt,13,1
698,2020-04-13,Sachsen-Anhalt,11,1
714,2020-04-14,Sachsen-Anhalt,25,0
730,2020-04-15,Sachsen-Anhalt,21,0
746,2020-04-16,Sachsen-Anhalt,25,2
762,2020-04-17,Sachsen-Anhalt,61,1
778,2020-04-18,Sachsen-Anhalt,23,1
793,2020-04-19,Sachsen-Anhalt,15,0
809,2020-04-20,Sachsen-Anhalt,13,2
825,2020-04-21,Sachsen-Anhalt,29,1
841,2020-04-22,Sachsen-Anhalt,16,0
856,2020-04-23,Sachsen-Anhalt,29,2
872,2020-04-24,Sachsen-Anhalt,23,2
888,2020-04-25,Sachsen-Anhalt,19,2
903,2020-04-26,Sachsen-Anhalt,5,0
919,2020-04-27,Sachsen-Anhalt,6,0
935,2020-04-28,Sachsen-Anhalt,13,0
951,2020-04-29,Sachsen-Anhalt,16,0
967,2020-04-30,Sachsen-Anhalt,12,1
983,2020-05-01,Sachsen-Anhalt,11,0
999,2020-05-02,Sachsen-Anhalt,5,1
1013,2020-05-03,Sachsen-Anhalt,4,0
1029,2020-05-04,Sachsen-Anhalt,5,1
1045,2020-05-05,Sachsen-Anhalt,19,1
1061,2020-05-06,Sachsen-Anhalt,10,0
1077,2020-05-07,Sachsen-Anhalt,12,1
1092,2020-05-08,Sachsen-Anhalt,8,0
1108,2020-05-09,Sachsen-Anhalt,4,1
1123,2020-05-10,Sachsen-Anhalt,2,0
1139,2020-05-11,Sachsen-Anhalt,2,0
1155,2020-05-12,Sachsen-Anhalt,7,0
1171,2020-05-13,Sachsen-Anhalt,9,0
1187,2020-05-14,Sachsen-Anhalt,10,0
1203,2020-05-15,Sachsen-Anhalt,1,0
1219,2020-05-16,Sachsen-Anhalt,3,0
1234,2020-05-17,Sachsen-Anhalt,2,0
1263,2020-05-19,Sachsen-Anhalt,8,1
1279,2020-05-20,Sachsen-Anhalt,3,0
1294,2020-05-21,Sachsen-Anhalt,3,0
1309,2020-05-22,Sachsen-Anhalt,1,0
1350,2020-05-25,Sachsen-Anhalt,5,0
1364,2020-05-26,Sachsen-Anhalt,1,0
1379,2020-05-27,Sachsen-Anhalt,2,0
1393,2020-05-28,Sachsen-Anhalt,1,0
1409,2020-05-29,Sachsen-Anhalt,1,0
1424,2020-05-30,Sachsen-Anhalt,3,0
1449,2020-06-01,Sachsen-Anhalt,1,0
1464,2020-06-02,Sachsen-Anhalt,3,0
1494,2020-06-04,Sachsen-Anhalt,6,0
1509,2020-06-05,Sachsen-Anhalt,2,0
1537,2020-06-07,Sachsen-Anhalt,1,0
1567,2020-06-09,Sachsen-Anhalt,8,0
1583,2020-06-10,Sachsen-Anhalt,3,1
1598,2020-06-11,Sachsen-Anhalt,3,0
1614,2020-06-12,Sachsen-Anhalt,13,1
1628,2020-06-13,Sachsen-Anhalt,11,0
1642,2020-06-14,Sachsen-Anhalt,12,0
1656,2020-06-15,Sachsen-Anhalt,6,0
1672,2020-06-16,Sachsen-Anhalt,12,0
1688,2020-06-17,Sachsen-Anhalt,20,0
1702,2020-06-18,Sachsen-Anhalt,10,0
1718,2020-06-19,Sachsen-Anhalt,21,0
1733,2020-06-20,Sachsen-Anhalt,3,0
1746,2020-06-21,Sachsen-Anhalt,8,0
1760,2020-06-22,Sachsen-Anhalt,6,0
1773,2020-06-23,Sachsen-Anhalt,2,0
1789,2020-06-24,Sachsen-Anhalt,4,0
1805,2020-06-25,Sachsen-Anhalt,2,0
1820,2020-06-26,Sachsen-Anhalt,4,0
1836,2020-06-27,Sachsen-Anhalt,2,0
1849,2020-06-28,Sachsen-Anhalt,2,0
1877,2020-06-30,Sachsen-Anhalt,3,0
1892,2020-07-01,Sachsen-Anhalt,1,0
1908,2020-07-02,Sachsen-Anhalt,4,0
1921,2020-07-03,Sachsen-Anhalt,3,0
1934,2020-07-04,Sachsen-Anhalt,1,0
1946,2020-07-05,Sachsen-Anhalt,10,0
1959,2020-07-06,Sachsen-Anhalt,3,0
1973,2020-07-07,Sachsen-Anhalt,3,0
1987,2020-07-08,Sachsen-Anhalt,3,0
2002,2020-07-09,Sachsen-Anhalt,4,0
2017,2020-07-10,Sachsen-Anhalt,8,0
2030,2020-07-11,Sachsen-Anhalt,2,0
2042,2020-07-12,Sachsen-Anhalt,2,0
2070,2020-07-14,Sachsen-Anhalt,10,0
2086,2020-07-15,Sachsen-Anhalt,6,0
2101,2020-07-16,Sachsen-Anhalt,3,0
2117,2020-07-17,Sachsen-Anhalt,9,1
2132,2020-07-18,Sachsen-Anhalt,8,0
2145,2020-07-19,Sachsen-Anhalt,1,0
2160,2020-07-20,Sachsen-Anhalt,2,0
2176,2020-07-21,Sachsen-Anhalt,11,0
2192,2020-07-22,Sachsen-Anhalt,6,1
2208,2020-07-23,Sachsen-Anhalt,4,0
2224,2020-07-24,Sachsen-Anhalt,6,0
2239,2020-07-25,Sachsen-Anhalt,3,0
2252,2020-07-26,Sachsen-Anhalt,4,0
2268,2020-07-27,Sachsen-Anhalt,3,0
2284,2020-07-28,Sachsen-Anhalt,8,0
2300,2020-07-29,Sachsen-Anhalt,9,0
2316,2020-07-30,Sachsen-Anhalt,7,0
2332,2020-07-31,Sachsen-Anhalt,8,0
2348,2020-08-01,Sachsen-Anhalt,3,0
2362,2020-08-02,Sachsen-Anhalt,2,0
2377,2020-08-03,Sachsen-Anhalt,2,0
2393,2020-08-04,Sachsen-Anhalt,7,0
2409,2020-08-05,Sachsen-Anhalt,3,0
2425,2020-08-06,Sachsen-Anhalt,8,0
2441,2020-08-07,Sachsen-Anhalt,7,0
2457,2020-08-08,Sachsen-Anhalt,6,0
2472,2020-08-09,Sachsen-Anhalt,2,0
2488,2020-08-10,Sachsen-Anhalt,9,0
2504,2020-08-11,Sachsen-Anhalt,12,1
2520,2020-08-12,Sachsen-Anhalt,10,0
2536,2020-08-13,Sachsen-Anhalt,8,0
2552,2020-08-14,Sachsen-Anhalt,11,0
2568,2020-08-15,Sachsen-Anhalt,8,0
2584,2020-08-16,Sachsen-Anhalt,1,0
2600,2020-08-17,Sachsen-Anhalt,4,0
2616,2020-08-18,Sachsen-Anhalt,12,0
2632,2020-08-19,Sachsen-Anhalt,13,0
2648,2020-08-20,Sachsen-Anhalt,13,0
2664,2020-08-21,Sachsen-Anhalt,10,0
2680,2020-08-22,Sachsen-Anhalt,7,0
2696,2020-08-23,Sachsen-Anhalt,3,0
2712,2020-08-24,Sachsen-Anhalt,8,0
2728,2020-08-25,Sachsen-Anhalt,14,0
2744,2020-08-26,Sachsen-Anhalt,8,0
2760,2020-08-27,Sachsen-Anhalt,5,0
2776,2020-08-28,Sachsen-Anhalt,11,0
2792,2020-08-29,Sachsen-Anhalt,6,0
2807,2020-08-30,Sachsen-Anhalt,5,1
2821,2020-08-31,Sachsen-Anhalt,3,0
2837,2020-09-01,Sachsen-Anhalt,11,0
2853,2020-09-02,Sachsen-Anhalt,5,0
2869,2020-09-03,Sachsen-Anhalt,9,0
2885,2020-09-04,Sachsen-Anhalt,9,0
2901,2020-09-05,Sachsen-Anhalt,3,0
2916,2020-09-06,Sachsen-Anhalt,4,0
2932,2020-09-07,Sachsen-Anhalt,1,0
2948,2020-09-08,Sachsen-Anhalt,19,0
2964,2020-09-09,Sachsen-Anhalt,5,0
2980,2020-09-10,Sachsen-Anhalt,10,0
2996,2020-09-11,Sachsen-Anhalt,21,1
3012,2020-09-12,Sachsen-Anhalt,13,0
3028,2020-09-13,Sachsen-Anhalt,2,0
3044,2020-09-14,Sachsen-Anhalt,8,1
3060,2020-09-15,Sachsen-Anhalt,9,0
3075,2020-09-16,Sachsen-Anhalt,17,0
3091,2020-09-17,Sachsen-Anhalt,28,0
3107,2020-09-18,Sachsen-Anhalt,24,0
3123,2020-09-19,Sachsen-Anhalt,8,0
3138,2020-09-20,Sachsen-Anhalt,6,0
3154,2020-09-21,Sachsen-Anhalt,7,0
3170,2020-09-22,Sachsen-Anhalt,29,0
3186,2020-09-23,Sachsen-Anhalt,26,1
3202,2020-09-24,Sachsen-Anhalt,15,0
3218,2020-09-25,Sachsen-Anhalt,36,0
3234,2020-09-26,Sachsen-Anhalt,41,0
3250,2020-09-27,Sachsen-Anhalt,3,0
3266,2020-09-28,Sachsen-Anhalt,12,0
3282,2020-09-29,Sachsen-Anhalt,32,0
3298,2020-09-30,Sachsen-Anhalt,40,0
3314,2020-10-01,Sachsen-Anhalt,21,0
3330,2020-10-02,Sachsen-Anhalt,33,0
3346,2020-10-03,Sachsen-Anhalt,10,0
3362,2020-10-04,Sachsen-Anhalt,11,0
3378,2020-10-05,Sachsen-Anhalt,18,0
3394,2020-10-06,Sachsen-Anhalt,41,0
3410,2020-10-07,Sachsen-Anhalt,17,0
3426,2020-10-08,Sachsen-Anhalt,27,1
3442,2020-10-09,Sachsen-Anhalt,46,0
3458,2020-10-10,Sachsen-Anhalt,6,0
3474,2020-10-11,Sachsen-Anhalt,37,0
3490,2020-10-12,Sachsen-Anhalt,22,0
3506,2020-10-13,Sachsen-Anhalt,33,0
3522,2020-10-14,Sachsen-Anhalt,54,2
3538,2020-10-15,Sachsen-Anhalt,62,0
3554,2020-10-16,Sachsen-Anhalt,88,1
