index,date,region,absolute_infections,absolute_deaths,population,relative_infections,relative_deaths
6,2020-01-23,Saarland,1,0,990509,0.00010095819422135488,0.0
12,2020-01-31,Saarland,1,0,990509,0.00010095819422135488,0.0
34,2020-02-27,Saarland,1,0,990509,0.00010095819422135488,0.0
40,2020-02-28,Saarland,1,0,990509,0.00010095819422135488,0.0
125,2020-03-08,Saarland,1,0,990509,0.00010095819422135488,0.0
139,2020-03-09,Saarland,5,0,990509,0.0005047909711067744,0.0
153,2020-03-10,Saarland,2,0,990509,0.00020191638844270976,0.0
169,2020-03-11,Saarland,10,0,990509,0.0010095819422135488,0.0
185,2020-03-12,Saarland,13,0,990509,0.0013124565248776134,0.0
201,2020-03-13,Saarland,17,0,990509,0.001716289301763033,0.0
217,2020-03-14,Saarland,12,0,990509,0.0012114983306562585,0.0
233,2020-03-15,Saarland,17,0,990509,0.001716289301763033,0.0
248,2020-03-16,Saarland,24,2,990509,0.002422996661312517,0.00020191638844270976
264,2020-03-17,Saarland,23,0,990509,0.002322038467091162,0.0
280,2020-03-18,Saarland,44,1,990509,0.004442160545739615,0.00010095819422135488
296,2020-03-19,Saarland,44,0,990509,0.004442160545739615,0.0
312,2020-03-20,Saarland,37,0,990509,0.0037354531861901303,0.0
328,2020-03-21,Saarland,38,1,990509,0.0038364113804114854,0.00010095819422135488
344,2020-03-22,Saarland,46,1,990509,0.004644076934182324,0.00010095819422135488
360,2020-03-23,Saarland,59,4,990509,0.005956533459059938,0.0004038327768854195
376,2020-03-24,Saarland,33,4,990509,0.0033316204093047108,0.0004038327768854195
392,2020-03-25,Saarland,49,3,990509,0.004946951516846388,0.00030287458266406463
408,2020-03-26,Saarland,70,2,990509,0.007067073595494842,0.00020191638844270976
424,2020-03-27,Saarland,63,3,990509,0.006360366235945357,0.00030287458266406463
440,2020-03-28,Saarland,66,2,990509,0.0066632408186094215,0.00020191638844270976
456,2020-03-29,Saarland,77,5,990509,0.007773780955044326,0.0005047909711067744
472,2020-03-30,Saarland,66,4,990509,0.0066632408186094215,0.0004038327768854195
488,2020-03-31,Saarland,130,13,990509,0.013124565248776135,0.0013124565248776134
504,2020-04-01,Saarland,109,5,990509,0.011004443170127682,0.0005047909711067744
520,2020-04-02,Saarland,171,16,990509,0.017263851211851682,0.001615331107541678
536,2020-04-03,Saarland,70,2,990509,0.007067073595494842,0.00020191638844270976
552,2020-04-04,Saarland,138,11,990509,0.013932230802546974,0.0011105401364349037
568,2020-04-05,Saarland,87,8,990509,0.008783362897257875,0.000807665553770839
584,2020-04-06,Saarland,76,7,990509,0.007672822760822971,0.0007067073595494841
600,2020-04-07,Saarland,75,4,990509,0.007571864566601616,0.0004038327768854195
616,2020-04-08,Saarland,153,12,990509,0.015446603715867297,0.0012114983306562585
632,2020-04-09,Saarland,133,6,990509,0.013427439831440197,0.0006057491653281293
648,2020-04-10,Saarland,91,7,990509,0.009187195674143295,0.0007067073595494841
664,2020-04-11,Saarland,20,1,990509,0.0020191638844270976,0.00010095819422135488
680,2020-04-12,Saarland,22,0,990509,0.0022210802728698073,0.0
696,2020-04-13,Saarland,27,3,990509,0.002725871243976582,0.00030287458266406463
712,2020-04-14,Saarland,27,2,990509,0.002725871243976582,0.00020191638844270976
728,2020-04-15,Saarland,50,5,990509,0.005047909711067744,0.0005047909711067744
744,2020-04-16,Saarland,49,4,990509,0.004946951516846388,0.0004038327768854195
760,2020-04-17,Saarland,31,2,990509,0.003129704020862001,0.00020191638844270976
776,2020-04-18,Saarland,27,2,990509,0.002725871243976582,0.00020191638844270976
791,2020-04-19,Saarland,2,0,990509,0.00020191638844270976,0.0
807,2020-04-20,Saarland,16,2,990509,0.001615331107541678,0.00020191638844270976
823,2020-04-21,Saarland,36,5,990509,0.003634494991968776,0.0005047909711067744
839,2020-04-22,Saarland,45,6,990509,0.00454311873996097,0.0006057491653281293
854,2020-04-23,Saarland,20,2,990509,0.0020191638844270976,0.00020191638844270976
870,2020-04-24,Saarland,22,3,990509,0.0022210802728698073,0.00030287458266406463
886,2020-04-25,Saarland,14,0,990509,0.0014134147190989683,0.0
901,2020-04-26,Saarland,17,0,990509,0.001716289301763033,0.0
917,2020-04-27,Saarland,5,0,990509,0.0005047909711067744,0.0
933,2020-04-28,Saarland,7,0,990509,0.0007067073595494841,0.0
949,2020-04-29,Saarland,27,1,990509,0.002725871243976582,0.00010095819422135488
965,2020-04-30,Saarland,23,1,990509,0.002322038467091162,0.00010095819422135488
981,2020-05-01,Saarland,13,0,990509,0.0013124565248776134,0.0
997,2020-05-02,Saarland,6,2,990509,0.0006057491653281293,0.00020191638844270976
1011,2020-05-03,Saarland,4,0,990509,0.0004038327768854195,0.0
1027,2020-05-04,Saarland,5,1,990509,0.0005047909711067744,0.00010095819422135488
1043,2020-05-05,Saarland,6,1,990509,0.0006057491653281293,0.00010095819422135488
1059,2020-05-06,Saarland,9,1,990509,0.000908623747992194,0.00010095819422135488
1075,2020-05-07,Saarland,11,0,990509,0.0011105401364349037,0.0
1090,2020-05-08,Saarland,5,1,990509,0.0005047909711067744,0.00010095819422135488
1106,2020-05-09,Saarland,4,0,990509,0.0004038327768854195,0.0
1137,2020-05-11,Saarland,2,0,990509,0.00020191638844270976,0.0
1153,2020-05-12,Saarland,7,1,990509,0.0007067073595494841,0.00010095819422135488
1169,2020-05-13,Saarland,8,0,990509,0.000807665553770839,0.0
1185,2020-05-14,Saarland,9,0,990509,0.000908623747992194,0.0
1201,2020-05-15,Saarland,4,1,990509,0.0004038327768854195,0.00010095819422135488
1217,2020-05-16,Saarland,2,0,990509,0.00020191638844270976,0.0
1247,2020-05-18,Saarland,3,0,990509,0.00030287458266406463,0.0
1261,2020-05-19,Saarland,4,1,990509,0.0004038327768854195,0.00010095819422135488
1277,2020-05-20,Saarland,3,0,990509,0.00030287458266406463,0.0
1292,2020-05-21,Saarland,3,0,990509,0.00030287458266406463,0.0
1307,2020-05-22,Saarland,3,0,990509,0.00030287458266406463,0.0
1322,2020-05-23,Saarland,4,0,990509,0.0004038327768854195,0.0
1334,2020-05-24,Saarland,1,0,990509,0.00010095819422135488,0.0
1348,2020-05-25,Saarland,4,0,990509,0.0004038327768854195,0.0
1362,2020-05-26,Saarland,4,0,990509,0.0004038327768854195,0.0
1377,2020-05-27,Saarland,4,2,990509,0.0004038327768854195,0.00020191638844270976
1391,2020-05-28,Saarland,4,0,990509,0.0004038327768854195,0.0
1407,2020-05-29,Saarland,6,1,990509,0.0006057491653281293,0.00010095819422135488
1422,2020-05-30,Saarland,1,0,990509,0.00010095819422135488,0.0
1436,2020-05-31,Saarland,1,0,990509,0.00010095819422135488,0.0
1448,2020-06-01,Saarland,7,1,990509,0.0007067073595494841,0.00010095819422135488
1462,2020-06-02,Saarland,2,0,990509,0.00020191638844270976,0.0
